Year,City,State,Country
1960, St. Charles, Illinois,United States
1960, Cedar Rapids, Iowa,United States
1960,  Fayetteville, New York,United States
1960,  Belmar, New Jersey,United States
1960, Oak Ridge, Tennessee,United States
1960, Chesterton, Indiana,United States
1960, Minneapolis, Minnesota,United States
1960, Lexington, Massachusetts,United States
1960, Normal, Illinois,United States
1960, Valparaiso, Indiana,United States
1960, Oshkosh, Wisconsin,United States
1960, Naperville, Illinois,United States
1960, Hillsborough, California,United States
1960, Omaha, Nebraska,United States
1960, Kirkwood, Missouri,United States
1960, Great Neck, New York,United States
1960, Redwood Falls, Minnesota,United States
1960, Minneapolis, Minnesota,United States
1960, Valley City, North Dakota,United States
1960, Springfield, Illinois,United States
1960, Minneapolis, Minnesota,United States
1960, Barrington, Illinois,United States
1960, Winnipeg, Canada,United States
1960, Redwood Falls, Minnesota,United States
1960, Cincinnati, Ohio,United States
1960, Sudbury, Massachusetts,United States
1960, Hopkins, Minnesota,United States
1960, Farmington, Michigan,United States
1960, Moberly, Missouri,United States
1960, Flint, Michigan,United States
1960,St. Paul,Minnesota,United States
1960, Wheaton, Illinois,United States
1960, Hales Corners, Wisconsin,United States
1960, Minneapolis, Minnesota,United States
1960, St. Charles,Missouri,United States
1960,  Baraboo, Wisconsin,United States
1960, Faribault, Minnesota,United States
1960, London, England,United States
1960, Elmhurst, Illinois,United States
1960, Portland, Oregon,United States
1960, Minneapolis, Minnesota,United States
1960, London, Ontario, Canada
1960, Canton, South Dakota,United States
1960, Rye, New York,United States
1960, Los Alamos, New Mexico,United States
1960, Johnson City, Tennessee,United States
1960, Glendive, Montana,United States
1960, Decatur, Illinois,United States
1960, Stamford, Connecticut,United States
1960, St. Peter, Minnesota,United States
1960, Oskaloosa, Iowa,United States
1960, Atherton, California,United States
1960, Berkeley, California,United States
1960, Stillwater, Minnesota,United States
1960, Blue Earth, Minnesota,United States
1960, Andover, Massachusetts,United States
1960, Crookston, Minnesota,United States
1960, Evanston, Illinois,United States
1960, Kanawha, Iowa,United States
1960, Beatrice, Nebraska,United States
1960, Harrison, New York,United States
1960, St. Paul, Minnesota,United States
1960, St. Paul, Minnesota,United States
1960,  Mamaroneck, New York,United States
1960, Williamsburg, Virginia,United States
1960, Minneapolis, Minnesota,United States
1960, Fairport, New York,United States
1960, Long View, Illinois,United States
1960,  Harmony, Minnesota,United States
1960, Naperville, Illinois,United States
1960, Alpena, Michigan,United States
1960, Independence, Iowa,United States
1960, Rochester, Minnesota,United States
1960, St. Loius Park, Minnesota,United States
1960, Austin, Minnesota,United States
1960, Wayzata, Minnesota,United States
1960, Richmond Heights, Missouri,United States
1960, Clayton, Missouri,United States
1960, Baltimore, Maryland,United States
1960, Cincinnati, Ohio,United States
1960, Westport, Connecticut,United States
1960, Chicago, Illinois,United States
1960, Naperville, Illinois,United States
1960, Centerville, Iowa,United States
1960, Westmount, Quebec, Canada
1960, Waterloo, Iowa,United States
1960, Chicago, Illinois,United States
1960, Minneapolis, Minnesota,United States
1960, Sheridan, Wyoming,United States
1960, Garden City, New York,United States
1960, North Haven, Connecticut,United States
1960, Ishpeming, Michigan,United States
1960, Westport, Connecticut,United States
1960, Columbus, Indiana,United States
1960, Surbiton, Surrey, England
1960, Davenport, Iowa,United States
1960, Superior, Wisconsin,United States
