Year,City,State,Country,,,
1965, Berwyn, Illinois,United States, ,,
1965, Mankato, Minnesota,United States,,,
1965, Kasson, Minnesota,United States,,,
1965, Princeton, New Jersey,United States,,,
1965, Chicago, Illinois,United States,,,
1965, Upper Montclair, New Jersey,United States, ,,
1965, Upper Montclair, New Jersey,United States,,,
1965, Tacoma, Washington,United States, ,,
1965, Chicago, Illinois,United States,,,
1965, Sioux City, Iowa,United States,,,
1965, Owatonna, Minnesota,United States,,,
1965, Tehran, Iran,Iran,,,
1965, Madison, New Jersey,United States,,,
1965, Ann Arbor, Michigan,United States,,,
1965, Edina, Minnesota,United States,,,
1965,  Wethersfield, Connecticut,United States,,,
1965, Green Bay, Wisconsin,United States,,,
1965, Arlington, Virginia,United States,,,
1965, Milwaukee, Wisconsin,United States,,,
1965, Estherville, Iowa,United States,,,
1965, Annandale, Virginia,United States,,,
1965, Groves, Texas,United States,,,
1965, Kansas City, Missouri,United States,,,
1965, Larchmont, New York,United States,,,
1965, Evanston, Illinois,United States,,,
1965, Glenview, Illinois,United States,,,
1965, Ames, Iowa,United States,,,
1965, Chicago, Illinois,United States,,,
1965, Richfield, Minnesota,United States,,,
1965, Bellevue, Nebraska,United States,,,
1965, Naples, Florida,United States,,,
1965, Muncie, Indiana,United States,,,
1965, Downers Grove, Illinois,United States,,,
1965, Eau Claire, Wisconsin,United States,,,
1965, Ferguson, Missouri,United States,,,
1965, Wilmette, Illinois,United States,,,
1965, St. Paul,Minnesota,United States,, ,
1965, Chicago, Illinois,United States,,,
1965, Omaha, Nebraska,United States,,,
1965, Malvern, Arkansas,United States,,,
1965, Redwood Falls, Minnesota,United States,,,
1965, Moscow, Idaho,United States,,,
1965, Lexington, Kentucky,United States,,,
1965, Omaha, Nebraska,United States,,,
1965, Keokuk, Iowa,United States,,,
1965, Paducah, Kentucky,United States,,,
1965, Ashland, Illinois,United States,,,
1965, Detroit, Michigan,United States,,,
1965, Prescott, Wisconsin,United States,,,
1965, Honolulu, Hawaii,United States,,,
1965, San Jose, California,United States,,,
1965, La Grange, Illinois,United States,,,
1965, New Brunswick, New Jersey,United States,,,
1965, Moberly, Missouri,United States,,,
1965, St. Paul,Minnesota,United States, ,,
1965, Robbinsdale,Minnesota,United States,,,
1965, Boulder, Colorado,United States,,,
1965, Lawrence, Kansas,United States,,,
1965, Des Plaines, Illinois,United States,,,
1965, Albert Lea, Minnesota,United States,,,
1965, Grosse Pointe Farms, Michigan,United States,,,
1965, Urbana, Illinois,United States,,,
1965, Strafford, Pennsylvania,United States,,,
1965, Hales Corners, Wisconsin,United States,,,
1965, Boiling Springs, Pennsylvania,United States,,,
1965, Wilmington, Delaware,United States,,,
1965, Peoria, Illinois,United States,,,
1965, Madison, Wisconsin,United States,,,
1965, Austin, Minnesota,United States,,,
1965, Chaska, Minnesota,United States,,,
1965, Washington, D.C,United States, ,,
1965, Minneapolis, Minnesota,United States,,,
1965, Pleasant Ridge, Michigan,United States,,,
1965, Leawood, Kansas,United States,,,
1965, Evanston, Illinois,United States,,,
1965, Duluth, Minnesota,United States,,,
1965, Chicago, Illinois,United States,,,
1965, Minneapolis, Minnesota,United States,,,
1965, Clayton, Missouri,United States,,,
1965,  Blacksburg, Virginia,United States,,,
1965, Sioux City, Iowa,United States,,,
1965, Shakopee, Minnesota,United States,,,
1965, Faribault, Minnesota,United States,,,
1965, Lewiston, Montana,United States,,,
1965, Minneapolis, Minnesota,United States,,,
1965, Weston, Massachusetts,United States,,,
1965, Quincy, Illinois,United States,,,
1965, Willmar, Minnesota,United States, ,,
1965,  Rosemount, Minnesota,United States,,,
1965, Shawnee Mission, Kansas,United States,,,
1965, Des Plaines, Illinois,United States,,,
1965, Appleton, Wisconsin,United States,,,
1965, Lincoln University, Pennsylvania,United States,,,
1965, Rye, New York,United States,,,
1965, Columbus, Ohio,United States,,,
1965, Bethesda, Maryland,United States,,,
1965, Flint, Michigan,United States,,,
1965, Fort Pierre, South Dakota,United States,,,
1965, Kewanee, Illinois,United States,,,
1965, Fort Dodge, Iowa,United States,,,
1965, Indianapolis, Indiana,United States,,,
1965, Washington, D.C,United States,, ,
1965, La Grange, Illinois,United States,,,
1965, Chicago, Illinois,United States,,,
1965, Cherry Hill, New Jersey,United States,,,
1965, Oak Park, Illinois,United States,,,
1965, Urbana, Illinois,United States,,,
1965, Minneapolis, Minnesota,United States,,,
1965, Downers Grove, Illinois,United States,,,
1965, Milwaukee, Wisconsin,United States,,,
1965, Littleton, Colorado,United States,,,
1965, Glen Ellyn, Illinois,United States,,,
1965, Chicago, Illinois,United States,,,
1965, Mount Vernon, New York,United States,,,
1965, Osseo, Minnesota,United States,,,
1965, Bloomington, Indiana,United States,,,
1965, Washington, D.C,United States, ,,
1965, Silver Spring, Maryland,United States,,,
1965, Glenview, Illinois,United States,,,
1965, Green Bay, Wisconsin,United States,,,
1965, Fort Collins, Colorado,United States,,,
1965, Cloquet, Minnesota,United States,,,
1965, Kennett Square, Pennsylvania,United States,,,
1965, Denver, Colorado,United States,,,
1965, Hopkins, Minnesota,United States,,,
1965, Huntington, New York,United States,,,
1965, Glen Ellyn, Illinois,United States,,,
1965, Bloomington, Minnesota,United States,,,
1965, Ennis, Montana,United States,,,
1965, Northfield, Minnesota,United States,,,
1965, Chicago, Illinois,United States,,,
1965, Duluth, Minnesota,United States,,,
1965, Minneapolis, Minnesota,United States,,,
1965, San Carlos, California,United States,,,
1965, Farmington, Illinois,United States,,,
1965, Bird Island, Minnesota,United States,,,
1965, Crawfordsville, Indiana,United States,,,
1965, Kansas City, Missouri,United States,,,
1965, Eau Claire, Wisconsin,United States,,,
1965, Wellesley Hills, Massachusetts,United States,,,
1965, Malverne, New York,United States,,,
1965, Waianae, Hawaii,United States,,,
1965, Des Moines, Iowa,United States, ,,
1965, Chicago, Illinois,United States,,,
1965, Old Town, Maine,United States,,,
1965, Memphis, Tennessee,United States,,,
1965, Arlington, Virginia,United States,,,
1965, Milwaukee, Wisconsin,United States,,,
1965, Downers Grove, Illinois,United States,,,
1965, St. Paul,Minnesota,United States, ,,
1965, Simsbury, Connecticut,United States,,,
1965, Washington, D.C,United States, ,,
1965, South St. Paul,Minnesota,United States,, ,
1965, Portland, Oregon,United States,,,
1965, Minneapolis, Minnesota,United States,,,
1965, Mankato, Minnesota,United States,,,
1965, Defiance, Ohio,United States,,,
1965, Chicago, Illinois,United States,,,
