Year,City,State,,,,,
1970, Minneapolis, Minnesota,,,,,
1970, Highland Park, Illinois,,,,,
1970, East Lansing, Michigan,,,,,
1970, Kailua, Hawaii,,,,,
1970, Golden Valley, Minnesota,,,,,
1970, Laconia, New Hampshire,,,,,
1970, Pelham, New York,,,,,
1970, Framingham, Massachusetts,,,,,
1970, Billings, Montana,,,,,
1970, Gambler, Ohio,,,,,
1970, Winona, Minnesota,,,,,
1970, Savannah, Georgia,,,,, 
1970, Morganton, North Carolina,,,,,
1970, Santa Ana, California,,,,,
1970, Overland Park, Kansas,,,,,
1970, New York, New York,,,,,
1970, Highland Park, Illinois,,,,,
1970, Chicago, Illinois,,,,,
1970, Bethesda, Maryland,,,,,
1970, Rochester, Minnesota,,,,,
1970, Honolulu, Hawaii,,,,,
1970, Springfield, Illinois,,,,,
1970, Oneonta, New York,,,,,
1970,St. Paul,Minnesota,,,,, 
1970, Edina, Minnesota,,,,,
1970, Columbia, Missouri,,,,,
1970, Edina, Minnesota,,,,,
1970, Dawson, Minnesota,,,,,
1970, Wilmington, Delaware,,,,,
1970, Minneapolis, Minnesota,,,,, 
1970, Richfield, Minnesota,,,,,
1970, Chicago, Illinois,,,,,
1970, Minneapolis, Minnesota,,,,,
1970, Silver Spring, Maryland,,,,,
1970, Kinnelon, New Jersey,,,,,
1970, Kankakee, Illinois,,,,,
1970, Gary, Illinois,,,,,
1970, Bethesda, Maryland,,,,,
1970, Lake Zurich, Illinois,,,,,
1970, Kirkwood, Missouri,,,,,
1970, Midland, Michigan,,,,,
1970, Chadds Ford, Pennsylvania,,,,,
1970, Portland, Oregon,,,,,
1970, Carmel, California,,,,,
1970, Bethesda, Maryland,,,,,
1970, Honolulu, Hawaii,,,,,
1970, Wilmette, Illinois,,,,,
1970, Park Rapids, Minnesota,,,,,
1970, Yokohama, Japan,,,, ,
1970, Los Angeles, California,,,,,
1970, Red Wing, Minnesota,,,,,
1970, South Bend, Indiana,,,,,
1970, Minneapolis, Minnesota,,,,,
1970, Chicago, Illinois,,,,,
1970, Seattle, Washington,,,,,
1970, Naperville, Illinois,,,,,
1970, Thief River Falls, Minnesota,,,,,
1970, Miami Beach, Florida,,,,,
1970, Lexington, Kentucky,,,,,
1970, Albany, Georgia,,,,,
1970, Moorhead, Minnesota,,,,,
1970, Elk Grove Village, Illinois,,,,,
1970, Moorhead, Minnesota,,,,,
1970, Des Plaines, Illinois,,,,,
1970, Cleveland Heights, Ohio,,,,,
1970, Richmond, Indiana,,,,,
1970, Oak Park, Illinois,,,,,
1970, Burnsville, Minnesota,,,,,
1970, New York, New York,,,,,
1970, Chappaqua, New York,,,,,
1970, Williamsburg, Iowa,,,,,
1970, Waterloo, Iowa,,,,,
1970, Auburndale, Massachusetts,,,,,
1970, Freeport, Illinois,,,,,
1970, Minnetonka, Minnesota,,,,,
1970, Minneapolis, Minnesota,,,,,
1970, Nashville, Tennessee,,,,,
1970, Albert Lea, Minnesota,,,,,
1970, Helena, Montana,,,,,
1970, Philadelphia, Pennsylvania,,,,,
1970, Elmhurst, Illinois,,,,,
1970, Omaha, Nebraska,,,,,
1970, Elgin, Illinois,,,,,
1970, Denver, Colorado,,,,,
1970, Wichita, Kansas,,,,,
1970, Edina, Minnesota,,,,,
1970, Omaha, Nebraska,,,,,
1970, Rockton, Illinois,,,,,
1970, Athens, Georgia,,,,,
1970, Reston, Virginia,,,,,
1970, Silver Spring, Maryland,,,,,
1970, London, England,,,,,
1970, Chicago, Illinois,,,, ,
1970, Schenectady, New York,,,,,
1970,St. Louis,Missouri,,,, ,
1970, Minneapolis, Minnesota,,,,,
1970, Silver Spring, Maryland,,,,,
1970, Bellevue, Washington,,,,,
1970,St. Paul,Minnesota,,,,, 
1970, Bethesda, Maryland,,,,,
1970, Chagrin Falls, Ohio,,,,,
1970, Fridley, Minnesota,,,,,
1970,St. Louis Park,Minnesota,,,,, 
1970, Key West, Florida,,,,,
1970, Bloomington, Minnesota,,,,,
1970, Fort Dodge, Iowa,,,,,
1970, Freeport, New York,,,,,
1970, Wilmette, Illinois,,,,,
1970, New Orleans, Louisiana,,,,,
1970, Kirkwood, Missouri,,,,,
1970, Palatine, Illinois,,,,,
