Year,City,State,Country,
1975, Crystal, Minnesota,United States,
1975, Wilmette, Illinois,United States,
1975, Rochester, New York,United States,
1975, Chilllcothe, Illinois,United States,
1975, Milwaukee, Wisconsin,United States,
1975, Minneapolis, Minnesota,United States,
1975, Radnor, Pennsylvania,United States,
1975, Auburn, Alabama,United States,
1975, Madison, Wisconsin,United States,
1975, Monte Vista, Colorado,United States,
1975, Glenview, Illinois,United States,
1975, Portola Valley, California,United States,
1975, Golden Valley, Minnesota,United States,
1975, Moorhead, Minnesota,United States,
1975, Alexandria, Virginia,United States,
1975, Palatine, Illinois,United States,
1975, Peterson, Iowa,United States,
1975, Marshall, Minnesota,United States,
1975, Minneapolis, Minnesota,United States,
1975, Houston, Texas,United States,
1975, St Louis, Missouri,United States,
1975, Northfield, Minnesota,United States,
1975, Duluth, Minnesota,United States,
1975, Montevideo, Minnesota,United States,
1975, Inver Grove Heights, Minnesota,United States,
1975, Lake Forest, Illinois,United States,
1975, Jacksonville, Florida,United States,
1975, St Paul, Minnesota,United States,
1975, Kohler, Wisconsin,United States,
1975, Westport, Connecticut,United States,
1975, Pittsburgh, Pennsylvania,United States,
1975, Minneapolis, Minnesota,United States,
1975, Ames, Iowa,United States,
1975, Devon, Pennsylvania,United States,
1975, Denver, Colorado,United States,
1975, Columbia, Missouri,United States,
1975, Minneapolis, Minnesota,United States,
1975, Minneapolis, Minnesota,United States,
1975, Crystal Lake, Illinois,United States,
1975, Milwaukee, Wisconsin,United States,
1975, Goleta, California,United States,
1975, Pittsburgh, Pennsylvania,United States,
1975, Skillman, New Jersey,United States,
1975, Bagley, Minnesota,United States,
1975, Fargo, North Dakota,United States,
1975, Clayton, Missouri,United States,
1975, St Paul, Minnesota,United States,
1975, Silver Spring, Maryland,United States,
1975, Balloch, Dunbartonshire, Scotland,
1975, Minneapolis, Minnesota,United States,
1975, Des Moines, Iowa,United States,
1975, Highland Park, Illinois,United States,
1975, Lexington, Massachusetts,United States,
1975, Snyder, New York,United States,
1975, Kailua, Hawaii,United States,
1975, Cloquet, Minnesota,United States,
1975, New Brighton, Minnesota,United States,
1975, Duluth, Minnesota,United States,
1975, Altadena, California,United States,
1975, Mason City, Iowa,United States,
1975, Scotts, Michigan,United States,
1975, Northfield, Minnesota,United States,
1975, Honolulu, Hawaii,United States,
1975, Newtown, Connecticut,United States,
1975, Wheaton, Illinois,United States,
1975, Huron, South Dakota,United States,
1975, Boulder, Colorado,United States,
1975, Maplewood, New Jersey,United States,
1975, Seattle, Washington,United States,
1975, Manchester, New Hampshire,United States,
1975, Winona, Minnesota,United States,
1975, Little Falls, Minnesota,United States,
1975, Golden, Colorado,United States,
1975, Wayzata, Minnesota,United States,
1975, Kansas City, Missouri,United States,
1975, Hillsboro, New Hampshire,United States,
1975, Minneapolis, Minnesota,United States,
1975, Brentwood, Essex, England,
1975, Madison, Wisconsin,United States,
1975, New Ulm, Minnesota,United States,
1975, White Bear Lake, Minnesota,United States,
1975, Omaha, Nebraska,United States,
1975, Akron, Ohio,United States,
1975, Crawfordsville, Indiana,United States,
1975, Eden Prairie, Minnesota,United States,
1975, Burnsville, Minnesota,United States,
1975, Evanston, Illinois,United States,
1975, Lincoln, Nebraska,United States,
1975, Tulsa, Oklahoma,United States,
1975, Red Wing, Minnesota,United States,
1975, Apple Valley, Minnesota,United States,
1975, Evanston, Illinois,United States,
1975, Missoula, Montana,United States,
1975, Weston, Connecticut,United States,
1975, Orangeburg, New York,United States,
1975, Rochester, Minnesota,United States,
1975, Tucson, Arizona,United States,
1975, Houston, Texas,United States,
1975, Hartland, Wisconsin,United States,
1975, Bethesda, Maryland,United States,
1975, Los Angeles, California,United States,
