Year,City,State,Country,,
1980, Bethesda, Maryland,United States,,
1980, Mound, Minnesota,United States,,
1980, Hudson, Wisconsin,United States,,
1980, Summit,NewJersey,United States,,
1980, Bellevue, Washington,United States,,
1980, St Paul,Minnesota,United States,,
1980, Austin, Texas,United States,,
1980, Springfield, Illinois,United States,,
1980, Palo Alto, California,United States,,
1980, Columbia, Missouri,United States,,
1980, Silver Spring, Maryland,United States,,
1980, Marine on the St. Croix, Minnesota,United States,,
1980, Sudbury, Massachusetts,United States,,
1980, Downey, California,United States,,
1980, Princeton Junction, New Jersey,United States,,
1980, Santa Cruz, New Mexico,United States,,
1980, Carbondale, Illinois,United States,,
1980, Jordan, Minnesota,United States,,
1980, Fairway, Kansas,United States,,
1980, Hinsdale, Illinois,United States,,
1980, St Louis Park, Minnesota,United States,,
1980, Minnetonka, Minnesota,United States, ,
1980, Oberlin,Ohio,United States,,
1980, North Brunswick, New Jersey,United States,,
1980, Colorado Springs, Colorado,United States,,
1980, Silver Spring, Maryland,United States,,
1980, Washington,DC,United States,, 
1980, Minneapolis, Minnesota,United States,,
1980, Rochester, Minnesota,United States,,
1980, Berkeley, California,United States,,
1980, Billings, Montana,United States,,
1980, Raleigh, North Carolina,United States, ,
1980, New Haven, Connecticut,United States,,
1980, Newton, Massachusetts,United States,,
1980, Austin, Texas,United States,,
1980, Chatfield, Minnesota,United States,,
1980, Indianapolis, Indiana,United States, ,
1980, Chicago, Illinois,United States,,
1980, Vienna,Austria,United States,,
1980, St Paul, Minnesota,United States,,
1980, Manhattan, Kansas,United States,,
1980, Laporte, Minnesota,United States,,
1980, Shirley, Massachusetts,United States,,
1980, La Grange, Illinois,United States,,
1980, Rockford, Illinois,United States,,
1980, Mequon, Wisconsin,United States,,
1980, Chicago, Illinois,United States,,
1980, Lakewood, Colorado,United States,,
1980, Wooster, Ohio,United States,,
1980, Monmouth, Illinois,United States,,
1980, Hanover, New Hampshire,United States,,
1980, Ranier, Minnesota,United States,,
1980, Eugene, Oregon,United States,,
1980, Los Alamos, New Mexico,United States,,
1980, Roseville, Minnesota,United States,,
1980, Moorhead, Minnesota,United States,,
1980, St Louis Park, Minnesota,United States,,
1980, Stuttgart, West Germany,United States,,
1980, Arlington Heights, Illinois,United States,,
1980, Glen Ellyn, Illinois,United States,,
1980, Edina, Minnesota,United States,,
1980, Macomb, Illinois,United States,,
1980, Des Moines, Iowa,United States,,
1980, Albertville, Minnesota,United States, ,
1980, Wilmette, Illinois,United States,,
1980, Rochester, Minnesota,United States,,
1980, Princeton, New Jersey,United States,,
1980, Boulder, Colorado,United States,,
1980, Spencer, Iowa,United States,,
1980, Yellow Springs, Ohio,United States,,
1980, Richfield, Minnesota,United States,,
1980, Vellore, India,United States,,
1980, Minnetonka, Minnesota,United States,,
1980, Mequon, Wisconsin,United States,,
1980, Portland, Oregon,United States,,
1980, Montreal, Canada,United States,,
1980, Portland, Oregon,United States,,
1980, Eden Prairie, Minnesota,United States,,
1980, Cleveland Heights, Ohio,United States,,
1980, Wilmette, Illinois,United States,,
1980, Ypsilanti, Michigan,United States,,
1980, Bethesda, Maryland,United States,,
1980, Midland, Michigan,United States,,
1980, Columbia Heights, Minnesota,United States,,
1980, Eau Claire, Wisconsin,United States,,
1980, Indianapolis, Indiana,United States,,
1980, Claremont, California,United States,,
1980, Kohler, Wisconsin,United States,,
1980, Wayzata, Minnesota,United States,,
1980, Hastings, Minnesota,United States,,
1980, Port Washington, New York,United States, ,
1980, Brookline, Massachusetts,United States,,
1980, Edina, Minnesota,United States,,
1980, Brookline, Massachusetts,United States,,
1980, Stewartville, Minnesota,United States,,
1980, East Lansing, Michigan,United States,,
1980, Worthington, Minnesota,United States,,
1980, Fridley, Minnesota,United States,,
1980, Woodbridge, Connecticut,United States,,
1980, BellIngham, Washington,United States,,
1980, Columbus, Ohio,United States,,
1980, Minneapolis, Minnesota,United States,,
1980, New Hope, Minnesota,United States,,
1980, Shaker Heights, Ohio,United States,,
1980, Minnetonka, Minnesota,United States,,
1980,Minneapolis, Minnesota,United States,,
1980, Columbia, Missouri,United States,,
1980, Madison, Wisconsin,United States,,
1980, Madison, Wisconsin,United States,,
1980, San Francisco, California,United States,,
1980, Portland, Oregon,United States,,
1980, Lorain, Ohio,United States,,
1980, St Louis, Missouri,United States,,
1980, Cleveland Heights, Ohio,United States,,
1980, Orchard Park, New York,United States,,
1980, St Petersburg, Florida,United States,,
1980, Summit, New Jersey,United States,,
1980, Park Forest, Illinois,United States,,
1980, White Bear Lake, Minnesota,United States,,
1980, Littleton, Colorado,United States,,
1980, Burnsville, Minnesota,United States,,
1980, Potomac, Maryland,United States,,
1980, Circle Pines, Minnesota,United States,,
1980, Dearborn, Michigan,United States,,
1980, Edina, Minnesota,United States,,
1980, Bloomington, Minnesota,United States,,
1980, Beachwood, Ohio,United States,,
1980, Sioux City, Iowa,United States,,
1980, Pasadena, California,United States,,
1980, Philadelphia,Pennsylvania,United States,,
1980, Springfield, Illinois,United States,,
1980, Eugene, Oregon,United States,,
1980, Morris, Minnesota,United States,,
1980, St. Joseph,Minnesota,United States,,
1980, Casper, Wyoming,United States,,
1980, Park Forest, Illinois,United States,,
1980, Las Cruces, New Mexico,United States,,
1980, Eden Prairie, Minnesota,United States,,
1980, Paris,, France,,
1980, Golf, Illinois,United States,,
1980, Maplewood, Minnesota,United States,,
1980, Exeter, New Hampshire,United States,,
1980, Socorro, New Mexico,United States,,
1980, Cincinnati, Ohio,United States,,
1980, Wauwatosa, Wisconsin,United States,,
1980, Cross Plains, Wisconsin,United States,,
1980, Jefferson, Wisconsin,United States,,
1980, Ohio, Cleveland Heights High School,United States,,
1980, St Petersburg, Florida,United States,,
1980, San Mateo, California,United States,,
1980, Tacoma, Washington,United States,,
1980, Northboro, Massachusetts,United States,,
1980, Oronoco, Minnesota,United States,,
1980, South St Paul, Minnesota,United States,,
1980, Princeton,NewJersey,United States,,
1980, Madison, Wisconsin,United States,,
1980, Des Moines, Iowa,United States,,
1980, Bayemon, Puerto Rico,United States,,
1980, Skokie, Illinois,United States,,
1980, La Grange Park, Illinois,United States,,
1980, Columbus, Ohio,United States,,
1980, Mahtomedi, Minnesota,United States,,
1980, Libertyville, Illinois,United States,,
1980, Alton, Illinois,United States,,
1980, Neenah, Wisconsin,United States,,
1980, Evanston, Illinois,United States,,
1980, Lafayette, California,United States,,
1980, St Paul,Minnesota,United States,,
1980,Minneapolis, Minnesota,United States,,
1980, Geneseo, Illinois,United States,,
1980, Oberlin,Ohio,United States,,
1980, Brooklyn Park, Minnesota,United States,, 
1980, St Louis Park, Minnesota,United States,,
1980, Bethesda, Maryland,United States,,
1980, Columbia Heights, Minnesota,United States,,
1980, Edina, Minnesota,United States,,
1980, Fullerton, California,United States,,
1980, Schenectady, New York,United States,,
1980, Madison, Wisconsin,United States,,
